Pressure (bar),MgMOF74 (cm3/gr),PCN61(cm3/gr),DUT32(cm3/gr),DUT49(cm3/gr),MOF177(cm3/gr),NU800(cm3/gr),UIO66(cm3/gr),ZIF8(cm3/gr),IRMOF1(cm3/gr),IRMOF10(cm3/gr),IRMOF16(cm3/gr)
0.05,0.818575176,0.860191814,0.466963435,0.849099888,0.568573219,0.483681816,1.495671694,0.810915659,0.42827809,0.516303268,0.605185672
0.06,0.976223366,1.038452798,0.563169252,1.032017305,0.683624764,0.568811194,1.780066155,0.961794185,0.519027925,0.62211232,0.725199469
0.07,1.148916819,1.210853611,0.657185302,1.208193095,0.801457452,0.690104771,2.087985908,1.126808597,0.608831691,0.719277025,0.848868044
0.08,1.301062522,1.37609011,0.755197275,1.388572248,0.915923493,0.769780816,2.356728391,1.278507785,0.688738121,0.833056838,0.977424885
0.09,1.475397742,1.545137415,0.841573123,1.535608773,1.03517115,0.858354403,2.647326852,1.447440853,0.771337209,0.919780968,1.091134188
0.1,1.636021637,1.717114804,0.934502284,1.714221296,1.146904838,0.955653321,2.883354205,1.609706051,0.879043509,1.024467378,1.21361496
0.2,3.243068636,3.461277855,1.870507034,3.432321058,2.298444917,1.949307753,5.446776474,3.231598918,1.719589293,2.069984301,2.412473751
0.3,4.885426471,5.080056957,2.824045889,5.175539475,3.4554497,2.907199809,7.683124891,4.800743798,2.598996675,3.109888013,3.659164459
0.4,6.52196116,6.760300107,3.75602275,6.917417689,4.569419936,3.851946467,9.569855103,6.372555827,3.468870593,4.127956328,4.830749464
0.5,8.084552165,8.502142801,4.687759856,8.484358786,5.714617055,4.834177604,11.55723467,7.914741994,4.346458612,5.156352954,6.029516886
0.6,9.703181324,10.13575864,5.604871887,10.21695711,6.955300124,5.803378148,13.20406541,9.501243855,5.168301343,6.143548602,7.256106311
0.7,11.26329685,11.7390574,6.55740377,11.89602853,8.077467417,6.804035806,14.75849871,10.98325505,6.071069347,7.167173998,8.496218417
0.8,12.79411708,13.27457465,7.460002613,13.53499539,9.199634709,7.812385532,16.35611907,12.45283324,6.887817861,8.139606897,9.572322327
0.9,14.26739848,14.75536874,8.42333947,15.19211591,10.32970631,8.71258708,17.82742221,13.95523786,7.729164166,9.232443201,10.85798211
1,15.71388572,16.2153135,9.345006852,16.69363073,11.57434153,9.708595055,19.17879282,15.34874077,8.665117354,10.18646476,12.0834751
2,31.02009997,30.4398964,17.98220806,32.18223612,22.99420757,19.26329135,29.56006402,28.25416855,17.22492997,20.50938672,24.15415848
3,45.70602099,44.65597697,27.07866857,47.89406656,34.22178433,29.05196428,37.04293136,41.41067757,25.82404083,30.61838915,35.85091231
4,59.26863933,57.49258005,36.19143244,62.79095197,44.96744247,38.22664946,43.04497014,52.02059341,34.42293336,40.566124,46.93626735
5,72.06456492,70.22292095,45.31583244,77.27885208,55.2500157,47.21609358,48.08887382,61.97808375,43.0672372,49.71358316,57.86670545
6,83.67022167,82.02845573,54.25056999,91.5340848,65.65515444,56.03510673,52.60057584,70.44112988,51.11180617,58.94164806,69.17098173
7,94.09683259,93.79674624,63.1478258,104.8798476,76.59881053,64.37405449,56.47743913,77.82519144,59.36603854,68.38587776,80.79500546
8,103.6159564,104.5703828,71.54696597,117.9367154,88.3297256,73.12182991,60.19064073,84.45451158,67.12707795,76.80956933,92.43415085
9,112.1991698,114.949745,80.66572372,130.2447345,99.36496428,81.91403563,63.07712705,90.63813072,74.62205369,86.92626187,103.302412
10,120.4631364,124.9720433,89.2239815,142.5087097,110.5276477,90.48150668,66.17734591,95.99444151,81.97657459,96.43296662,114.7670874
20,171.9705364,207.1601294,172.0222968,246.2692237,211.4259007,170.3233911,88.43469952,129.7647856,154.6906257,187.4755655,222.7372458
30,199.2501762,263.3560365,247.1871385,327.4062159,295.2328027,233.8505145,102.967247,148.0086748,214.078715,269.4026443,323.0919874
40,216.8114099,304.4012505,314.724053,393.2272859,361.5504062,282.1561263,114.7736656,159.7647258,260.2085953,342.8728575,416.7750218
50,229.2456848,334.6451021,374.5286507,447.1546625,413.6269412,320.9367769,123.3253677,168.8560085,294.855747,408.2553299,503.0434696
60,239.0192954,358.9707399,427.7844599,493.2479225,454.410079,351.1539746,131.6296757,175.7846442,322.4407859,464.9498968,581.5466547
70,246.1011379,378.541357,475.432744,532.5046847,487.7879568,376.3992264,138.2280643,181.3770591,344.4550074,514.0399644,655.0902137
80,252.5787842,394.7646647,516.8483968,566.0180471,515.5382625,396.2750704,143.8106232,185.5217665,363.2052187,557.7112613,723.12995
90,257.5424639,408.227815,553.3049346,595.9298979,537.7544328,412.9663983,148.6442018,189.8005289,378.3032404,595.4416466,784.7762906
100,261.8629299,420.6647239,587.3117966,621.8048134,557.4245876,428.2017441,153.2377691,193.3516317,391.031869,629.48954,841.9466236
